2026-03-03 03:00:00.041 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:6, handler:com.xxl.job.core.handler.impl.MethodJobHandler@146b4c6c[class com.taoxin.communitysharing.algin.job.FansCountShardingXxlJob#fansCountShardingJobHandler]
2026-03-03 03:00:00.046 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:10, handler:com.xxl.job.core.handler.impl.MethodJobHandler@31b4c003[class com.taoxin.communitysharing.algin.job.UserLikeCountShardingJobHandler#userGetLikeCountShardingJobHandler]
2026-03-03 03:00:00.048 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:7, handler:com.xxl.job.core.handler.impl.MethodJobHandler@4d305059[class com.taoxin.communitysharing.algin.job.CollectionCountShardingXxlJob#collectCountShardingJobHandler]
2026-03-03 03:00:00.048 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:5, handler:com.xxl.job.core.handler.impl.MethodJobHandler@5b166420[class com.taoxin.communitysharing.algin.job.FollowingCountShardingXxlJob#followingCountShardingJobHandler]
2026-03-03 03:00:00.048 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:9, handler:com.xxl.job.core.handler.impl.MethodJobHandler@49318c2a[class com.taoxin.communitysharing.algin.job.likeCountShardingXxlJob#likeCountShardingJobHandler]
2026-03-03 03:00:00.049 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:8, handler:com.xxl.job.core.handler.impl.MethodJobHandler@17adbecf[class com.taoxin.communitysharing.algin.job.PublishCountShardingXxlJob#publishCountShardingJobHandler]
2026-03-03 03:00:00.049 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:11, handler:com.xxl.job.core.handler.impl.MethodJobHandler@59eb987a[class com.taoxin.communitysharing.algin.job.UserCollectCountShardingJobHandler#userGetCollectCountShardingJobHandler]
2026-03-03 03:00:00.068 [xxl-job, JobThread-5-1772478000048] INFO  c.t.c.a.j.FollowingCountShardingXxlJob - 分片序号：0，分片总数：3
2026-03-03 03:00:00.068 [xxl-job, JobThread-10-1772478000046] INFO  c.t.c.a.j.UserLikeCountShardingJobHandler - 分片序号：0，分片总数：3
2026-03-03 03:00:00.068 [xxl-job, JobThread-7-1772478000046] INFO  c.t.c.a.j.CollectionCountShardingXxlJob - 分片序号：0，分片总数：3
2026-03-03 03:00:00.068 [xxl-job, JobThread-6-1772478000040] INFO  c.t.c.a.job.FansCountShardingXxlJob - 分片序号：0，分片总数：3
2026-03-03 03:00:00.068 [xxl-job, JobThread-8-1772478000048] INFO  c.t.c.a.j.PublishCountShardingXxlJob - 分片序号：0，分片总数：3
2026-03-03 03:00:00.068 [xxl-job, JobThread-11-1772478000049] INFO  c.t.c.a.j.UserCollectCountShardingJobHandler - 分片序号：0，分片总数：3
2026-03-03 03:00:00.068 [xxl-job, JobThread-9-1772478000048] INFO  c.t.c.a.job.likeCountShardingXxlJob - 分片序号：0，分片总数：3
2026-03-03 03:00:00.092 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:5, handler:com.xxl.job.core.handler.impl.MethodJobHandler@17adbecf[class com.taoxin.communitysharing.algin.job.FollowingCountShardingXxlJob#followingCountShardingJobHandler]
2026-03-03 03:00:00.098 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:8, handler:com.xxl.job.core.handler.impl.MethodJobHandler@31b4c003[class com.taoxin.communitysharing.algin.job.PublishCountShardingXxlJob#publishCountShardingJobHandler]
2026-03-03 03:00:00.099 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:9, handler:com.xxl.job.core.handler.impl.MethodJobHandler@59eb987a[class com.taoxin.communitysharing.algin.job.likeCountShardingXxlJob#likeCountShardingJobHandler]
2026-03-03 03:00:00.099 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:11, handler:com.xxl.job.core.handler.impl.MethodJobHandler@74214ac3[class com.taoxin.communitysharing.algin.job.UserCollectCountShardingJobHandler#userGetCollectCountShardingJobHandler]
2026-03-03 03:00:00.099 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:10, handler:com.xxl.job.core.handler.impl.MethodJobHandler@e00c94e[class com.taoxin.communitysharing.algin.job.UserLikeCountShardingJobHandler#userGetLikeCountShardingJobHandler]
2026-03-03 03:00:00.100 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:7, handler:com.xxl.job.core.handler.impl.MethodJobHandler@78b293a[class com.taoxin.communitysharing.algin.job.CollectionCountShardingXxlJob#collectCountShardingJobHandler]
2026-03-03 03:00:00.100 [xxl-job, EmbedServer bizThreadPool-1313035458] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:6, handler:com.xxl.job.core.handler.impl.MethodJobHandler@49318c2a[class com.taoxin.communitysharing.algin.job.FansCountShardingXxlJob#fansCountShardingJobHandler]
2026-03-03 03:00:00.110 [xxl-job, JobThread-5-1772478000091] INFO  c.t.c.a.j.FollowingCountShardingXxlJob - 分片序号：1，分片总数：3
2026-03-03 03:00:00.110 [xxl-job, JobThread-8-1772478000097] INFO  c.t.c.a.j.PublishCountShardingXxlJob - 分片序号：1，分片总数：3
2026-03-03 03:00:00.113 [xxl-job, JobThread-9-1772478000098] INFO  c.t.c.a.job.likeCountShardingXxlJob - 分片序号：1，分片总数：3
2026-03-03 03:00:00.114 [xxl-job, JobThread-11-1772478000099] INFO  c.t.c.a.j.UserCollectCountShardingJobHandler - 分片序号：1，分片总数：3
2026-03-03 03:00:00.114 [xxl-job, JobThread-10-1772478000099] INFO  c.t.c.a.j.UserLikeCountShardingJobHandler - 分片序号：1，分片总数：3
2026-03-03 03:00:00.115 [xxl-job, JobThread-7-1772478000100] INFO  c.t.c.a.j.CollectionCountShardingXxlJob - 分片序号：1，分片总数：3
2026-03-03 03:00:00.115 [xxl-job, JobThread-6-1772478000100] INFO  c.t.c.a.job.FansCountShardingXxlJob - 分片序号：1，分片总数：3
2026-03-03 03:00:00.218 [xxl-job, JobThread-10-1772478000046] INFO  c.t.c.a.j.UserLikeCountShardingJobHandler - 【用户获得点赞数据对齐】开始对齐数据,tableNameSuffix: 20260302_0，userIdList：[]
2026-03-03 03:00:00.218 [xxl-job, JobThread-8-1772478000048] INFO  c.t.c.a.j.PublishCountShardingXxlJob - 【用户发布数据对齐】开始对齐数据,tableNameSuffix: 20260302_0，creatorIdList：[]
2026-03-03 03:00:00.218 [xxl-job, JobThread-7-1772478000046] INFO  c.t.c.a.j.CollectionCountShardingXxlJob - 【内容收藏数据对齐】开始对齐数据,tableNameSuffix: 20260302_0，contentIdList：[]
2026-03-03 03:00:00.218 [xxl-job, JobThread-6-1772478000040] INFO  c.t.c.a.job.FansCountShardingXxlJob - 【用户粉丝数据对齐】开始对齐数据,tableNameSuffix: 20260302_0，userIdList：[]
2026-03-03 03:00:00.218 [xxl-job, JobThread-11-1772478000049] INFO  c.t.c.a.j.UserCollectCountShardingJobHandler - 【用户获得收藏数据对齐】开始对齐数据,tableNameSuffix: 20260302_0，userIdList：[]
2026-03-03 03:00:00.218 [xxl-job, JobThread-9-1772478000048] INFO  c.t.c.a.job.likeCountShardingXxlJob - 【内容点赞数据对齐】开始对齐数据,tableNameSuffix: 20260302_0，contentIdList：[]
2026-03-03 03:00:00.232 [xxl-job, JobThread-10-1772478000046] INFO  c.t.c.a.j.UserLikeCountShardingJobHandler - 已处理总数：0
2026-03-03 03:00:00.232 [xxl-job, JobThread-9-1772478000048] INFO  c.t.c.a.job.likeCountShardingXxlJob - 已处理总数：0
2026-03-03 03:00:00.232 [xxl-job, JobThread-6-1772478000040] INFO  c.t.c.a.job.FansCountShardingXxlJob - 已处理总数：0
2026-03-03 03:00:00.232 [xxl-job, JobThread-7-1772478000046] INFO  c.t.c.a.j.CollectionCountShardingXxlJob - 已处理总数：0
2026-03-03 03:00:00.232 [xxl-job, JobThread-11-1772478000049] INFO  c.t.c.a.j.UserCollectCountShardingJobHandler - 【用户获得收藏数据对齐】缓存更新成功，已处理总数：0
2026-03-03 03:00:00.232 [xxl-job, JobThread-8-1772478000048] INFO  c.t.c.a.j.PublishCountShardingXxlJob - 已处理总数：0
2026-03-03 03:00:00.238 [xxl-job, JobThread-9-1772478000098] INFO  c.t.c.a.job.likeCountShardingXxlJob - 【内容点赞数据对齐】开始对齐数据,tableNameSuffix: 20260302_1，contentIdList：[]
2026-03-03 03:00:00.238 [xxl-job, JobThread-8-1772478000097] INFO  c.t.c.a.j.PublishCountShardingXxlJob - 【用户发布数据对齐】开始对齐数据,tableNameSuffix: 20260302_1，creatorIdList：[]
2026-03-03 03:00:00.238 [xxl-job, JobThread-11-1772478000099] INFO  c.t.c.a.j.UserCollectCountShardingJobHandler - 【用户获得收藏数据对齐】开始对齐数据,tableNameSuffix: 20260302_1，userIdList：[10]
2026-03-03 03:00:00.238 [xxl-job, JobThread-6-1772478000100] INFO  c.t.c.a.job.FansCountShardingXxlJob - 【用户粉丝数据对齐】开始对齐数据,tableNameSuffix: 20260302_1，userIdList：[]
2026-03-03 03:00:00.238 [xxl-job, JobThread-7-1772478000100] INFO  c.t.c.a.j.CollectionCountShardingXxlJob - 【内容收藏数据对齐】开始对齐数据,tableNameSuffix: 20260302_1，contentIdList：[2026507475867402296]
